entity_name,ticker,segment,role_supply_or_demand,headquarters_country,ownership_type,reit_structure,business_model,data_center_regions,notes_marketplace_relevance,
CoreSite (American Tower),N/A,Data center platform inside tower REIT,supply,United States,public (parent AMT),yes (at AMT level),Interconnection-focused colocation operator within American Tower; owns and leases multi-tenant data centers in key US metros.[web:28][web:40],"US primary metros (e.g., Ashburn, Denver, LA, New York)","Interconnection-heavy, metro-focused supply for AI inference clusters and enterprise AI; marketplace could help sell high-value, low-latency MW near large user populations and telco hubs.[web:28][web:40]",
CyrusOne (KKR/Global Infrastructure Partners),N/A,Private hyperscale data center platform,supply,United States,private,no,"Former public REIT now private; builds, owns, and leases hyperscale and enterprise data centers in US and international markets.[web:43]",US hyperscale and enterprise markets,"Major hyperscale supplier; marketplace could amplify demand visibility for AI clusters, support bulk MW auctions, and guide site selection based on clear demand signals.[web:43]",
DigitalBridge Group,DBRG,Digital infrastructure asset manager,supply,United States,public,no,"Owns and manages multiple data center platforms (including Switch) and related digital infrastructure, structuring capital and development programs for AI/cloud tenants.[web:43]",US and global via portfolio companies,Capital provider and platform aggregator on the supply side; marketplace data could inform where to deploy new funds into AI-focused data center builds and M&A.[web:43],
Microsoft (Azure),MSFT,Hyperscaler cloud & AI,demand,United States,public,no,"Hyperscale cloud provider that both builds and leases data centers to power Azure and its AI stack (e.g., Copilot, OpenAI workloads), requiring large GPU clusters and regional latency footprints.[web:43][web:46]",US and global cloud regions,One of the largest buyers of AI-capable capacity; would appear as a major demand-side participant bidding for campus-scale MW with tight latency and sustainability constraints in a marketplace.[web:43][web:46],
Amazon Web Services,AMZN,Hyperscaler cloud & AI,demand,United States,public,no,"Largest cloud provider; builds and leases data centers globally to run AWS and AI services (e.g., Bedrock, Trainium/Inferentia-based workloads), consuming large-scale power and space.[web:43][web:46]",US and global cloud regions,"Massive, recurring demand-side participant that could use a marketplace to secure incremental capacity from third-party landlords in high-demand regions or to arbitrage cost/performance between metros.[web:43][web:46]",
Google Cloud,GOOG,Hyperscaler cloud & AI,demand,United States,public,no,"Cloud and AI provider that builds data centers and leases capacity for Google Cloud and models like Gemini, with strong focus on renewable energy and high-density clusters.[web:43][web:46]",US and global cloud regions,Significant AI demand-side tenant and buyer of sustainable capacity; marketplace could help it source leased capacity that meets both power and carbon criteria.[web:43][web:46],
Meta Platforms,META,Enterprise / hyperscale AI user,demand,United States,public,no,"Consumer internet company building and leasing data centers to support social apps and large internal AI workloads (e.g., recommendation and foundation models).",US and global data center campuses,Large direct builder but also a potential tenant of third-party capacity in some regions; would appear in the marketplace primarily when leasing or co-locating AI clusters rather than self-building.[web:43],
OpenAI,N/A,AI lab,demand,United States,private,no,"AI research and deployment lab training and serving large foundation models, primarily consuming GPU clusters via partnerships with hyperscalers and leased capacity.",Concentrated in US and allied regions via partner clouds,Indirect but influential demand-side actor; its aggregate compute requirements drive hyperscaler demand and could eventually translate into direct marketplace bids for specialized clusters or locations.[web:43][web:48],
Anthropic,N/A,AI lab,demand,United States,private,no,"AI safety-focused lab training large language models and deploying them through cloud partners and enterprises, requiring high-density, reliable GPU infrastructure.","US-based, using partner cloud and colocation capacity",Similar to OpenAI as an indirect demand driver; could appear directly on a marketplace as a counterparty for dedicated cluster leases or for secondary markets in reserved GPU capacity.[web:48],
NVIDIA DGX Cloud / NVIDIA-hosted services,NVDA,AI infrastructure & services,demand,United States,public,no,"Provides GPU-accelerated cloud services via partners and some owned/leased infrastructure, effectively aggregating GPU demand and presenting it as a service to enterprises.",US and global hosted regions via partners,"Aggregates enterprise GPU demand; in a marketplace, NVIDIA or its partners could procure capacity in regions where DGX Cloud demand outstrips existing footprint.[web:48]",
Large US financial institutions (e.g.,JPMorgan Chase),N/A,Enterprise AI user,demand,United States,public,no,"Heavily regulated enterprises deploying AI and HPC workloads for risk, trading, and analytics, using a mix of internal data centers, colocation, and cloud.",US headquarters plus regional data centers and colo,"Representative of the broader enterprise AI demand segment; would use the marketplace to acquire secure, compliant colocation capacity with specific latency and regulatory constraints.[web:43]"
Large US healthcare & life sciences enterprises (representative bucket),N/A,Enterprise AI & HPC users,demand,United States,mixed,no,"Hospitals, biotech, and pharma firms running genomics, imaging, and clinical AI workloads, generally via colocation and cloud providers.",US regions near major medical and research hubs,This bucket represents fragmented but growing AI/HPC demand; marketpl,
