operator_id,operator_name,operator_type,ticker,headquarters,headquarters_country,market_cap_billions,revenue_billions_2025,founded_year,total_facilities,total_sqft_millions,total_capacity_mw,countries_presence,metros_presence,business_model,specialization,hyperscaler_anchor,enterprise_focus,financial_focus,dgx_ready_certified,liquid_cooling,avg_pue,renewable_pct,stock_price_usd,forward_affo_multiple,dividend_yield_pct,website,investor_relations
aligned,Aligned Data Centers,Private (Macquarie),,"Dallas, TX",USA,4.5,0.55,2013,12,3.5,850,1,6,Adaptive Colocation,DeltaÂ³ cooling technology,True,True,False,True,True,1.22,82,,,,https://www.aligneddc.com,
flexential,Flexential,Private (GI Partners),,"Charlotte, NC",USA,3.8,0.65,2017,40,3.0,480,1,19,Hybrid IT + Colocation,Enterprise hybrid cloud,False,True,False,False,True,1.42,65,,,,https://www.flexential.com,
tierpoint,TierPoint,Private (Argo Infra),,"St. Louis, MO",USA,2.5,0.48,2010,40,2.2,320,1,20,Colocation + Managed Services,Mid-market enterprise,False,True,False,False,False,1.45,55,,,,https://www.tierpoint.com,
databank,DataBank,Private (DigitalBridge),,"Dallas, TX",USA,3.2,0.52,2016,65,2.8,420,1,27,Edge Colocation,"Tier 2/3 markets, edge",False,True,False,False,True,1.38,62,,,,https://www.databank.com,
gds,GDS Holdings,Public,GDS,Shanghai,China,8.5,1.65,2001,96,6.5,1200,3,22,Hyperscale + Enterprise,China + Southeast Asia,True,True,True,False,True,1.35,45,22.5,15.5,0.0,https://www.gds-services.com,https://ir.gds-services.com
globalswitch,Global Switch,Private,,London,UK,7.0,0.95,1998,13,4.8,750,5,10,Wholesale Colocation,Europe + Asia Pacific,True,True,True,False,True,1.38,70,,,,https://www.globalswitch.com,
telehouse,Telehouse (KDDI),Private (KDDI subsidiary),,Tokyo,Japan,3.5,0.65,1989,45,2.8,380,14,25,Carrier-Neutral Colocation,Telecom interconnection,False,True,True,False,False,1.48,58,,,,https://www.telehouse.net,
edgeconnex,EdgeConneX,Private (EQT),,"Herndon, VA",USA,4.0,0.58,2009,50,2.5,620,6,35,Edge Data Centers,Purpose-built edge facilities,True,True,False,False,True,1.32,75,,,,https://www.edgeconnex.com,
cyxtera,Cyxtera Technologies,Private (restructured),,"Coral Gables, FL",USA,1.8,0.42,2017,60,2.1,350,4,28,Retail Colocation,"Enterprise, bare metal cloud",False,True,False,False,False,1.52,45,,,,https://www.cyxtera.com,
coreweave,CoreWeave,Private (VC-backed),,"Roseland, NJ",USA,23.0,2.8,2017,32,4.0,1500,2,12,GPU Cloud,"AI/ML infrastructure, 250K+ GPUs",False,False,False,True,True,1.25,72,,,,https://www.coreweave.com,
lambda,Lambda Labs,Private (VC-backed),,"San Francisco, CA",USA,1.5,0.35,2012,8,0.8,180,1,5,GPU Cloud,On-demand AI training,False,False,False,True,True,1.28,65,,,,https://lambda.ai,
crusoe,Crusoe Energy,Private (VC-backed),,"Denver, CO",USA,2.8,0.42,2018,15,0.5,350,1,8,Stranded Gas + AI,Flare gas to compute,False,False,False,True,True,1.15,0,,,,https://www.crusoeenergy.com,
puredc,Pure DC,Private,,Amsterdam,Netherlands,2.0,0.28,2018,5,1.2,250,1,2,Hyperscale Build,Europe's largest standalone hyperscale,True,False,False,False,True,1.25,100,,,,https://www.puredc.com,
adaniconnex,AdaniConneX,Joint Venture,,Ahmedabad,India,3.5,0.35,2021,8,2.5,1000,1,5,Hyperscale,India's largest DC provider,True,True,False,False,True,1.35,65,,,,https://www.adaniconnex.com,
